PLZ Katalog Schweiz;;;;;
Land;Kanton;PLZ;Zusatzziffer;Gemeinde;Ort
Schweiz;ZH;8471;3;Dägerlen;Oberwil (Dägerlen)
Schweiz;ZH;8471;4;Dägerlen;Berg (Dägerlen)
Schweiz;ZH;8471;5;Dägerlen;Bänk (Dägerlen)
Schweiz;ZH;8421;0;Dättlikon;Dättlikon
Schweiz;ZH;8474;0;Dinhard;Dinhard
Schweiz;ZH;8353;0;Elgg;Elgg
Schweiz;ZH;8548;0;Ellikon an der Thur;Ellikon an der Thur
Schweiz;ZH;8352;0;Elsau;Elsau
Schweiz;ZH;8523;0;Hagenbuch;Hagenbuch ZH
Schweiz;ZH;8442;0;Hettlingen;Hettlingen
Schweiz;ZH;8354;0;Hofstetten (ZH);Hofstetten ZH
Schweiz;ZH;8412;0;Neftenbach;Aesch (Neftenbach)
Schweiz;ZH;8412;1;Neftenbach;Riet (Neftenbach)
Schweiz;ZH;8412;2;Neftenbach;Hünikon (Neftenbach)
Schweiz;ZH;8413;0;Neftenbach;Neftenbach
Schweiz;ZH;8422;0;Pfungen;Pfungen
Schweiz;ZH;8545;0;Rickenbach (ZH);Rickenbach ZH
Schweiz;ZH;8545;1;Rickenbach (ZH);Rickenbach Sulz
Schweiz;ZH;8418;0;Schlatt (ZH);Schlatt ZH
Schweiz;ZH;8472;0;Seuzach;Seuzach
Schweiz;ZH;8488;0;Turbenthal;Turbenthal
Schweiz;ZH;8495;0;Turbenthal;Schmidrüti
Schweiz;ZH;8352;2;Winterthur;Ricketwil (Winterthur)
Schweiz;ZH;8400;0;Winterthur;Winterthur
Schweiz;ZH;8404;0;Winterthur;Winterthur
Schweiz;ZH;8404;2;Winterthur;Reutlingen (Winterthur)
Schweiz;ZH;8404;3;Winterthur;Stadel (Winterthur)
Schweiz;ZH;8405;0;Winterthur;Winterthur
Schweiz;ZH;8406;0;Winterthur;Winterthur
Schweiz;ZH;8408;0;Winterthur;Winterthur
Schweiz;ZH;8409;0;Winterthur;Winterthur
Schweiz;ZH;8482;0;Winterthur;Sennhof (Winterthur)
Schweiz;ZH;8483;0;Zell (ZH);Kollbrunn
Schweiz;ZH;8486;0;Zell (ZH);Rikon im Tösstal
Schweiz;ZH;8487;0;Zell (ZH);Zell ZH
Schweiz;ZH;8487;1;Zell (ZH);Rämismühle
Schweiz;ZH;8904;0;Aesch (ZH);Aesch ZH
Schweiz;ZH;8903;0;Birmensdorf (ZH);Birmensdorf ZH
Schweiz;ZH;8953;0;Dietikon;Dietikon
Schweiz;ZH;8951;0;Geroldswil;Fahrweid
Schweiz;ZH;8954;0;Geroldswil;Geroldswil
Schweiz;ZH;8102;0;Oberengstringen;Oberengstringen
Schweiz;ZH;8955;0;Oetwil an der Limmat;Oetwil an der Limmat
Schweiz;ZH;8952;0;Schlieren;Schlieren
Schweiz;ZH;8142;0;Uitikon;Uitikon Waldegg
Schweiz;ZH;8103;0;Unterengstringen;Unterengstringen
Schweiz;ZH;8902;0;Urdorf;Urdorf
Schweiz;ZH;8104;0;Weiningen (ZH);Weiningen ZH
Schweiz;ZH;8001;0;Zürich;Zürich
Schweiz;ZH;8002;0;Zürich;Zürich
Schweiz;ZH;8003;0;Zürich;Zürich
Schweiz;ZH;8004;0;Zürich;Zürich
Schweiz;ZH;8005;0;Zürich;Zürich
Schweiz;ZH;8006;0;Zürich;Zürich
Schweiz;ZH;8008;0;Zürich;Zürich
Schweiz;ZH;8032;0;Zürich;Zürich
Schweiz;ZH;8037;0;Zürich;Zürich
Schweiz;ZH;8038;0;Zürich;Zürich
Schweiz;ZH;8041;0;Zürich;Zürich
Schweiz;ZH;8044;0;Zürich;Zürich
Schweiz;ZH;8045;0;Zürich;Zürich
Schweiz;ZH;8046;0;Zürich;Zürich
Schweiz;ZH;8047;0;Zürich;Zürich
Schweiz;ZH;8048;0;Zürich;Zürich
Schweiz;ZH;8049;0;Zürich;Zürich
Schweiz;ZH;8050;0;Zürich;Zürich
Schweiz;ZH;8051;0;Zürich;Zürich
Schweiz;ZH;8052;0;Zürich;Zürich
Schweiz;ZH;8053;0;Zürich;Zürich
Schweiz;ZH;8055;0;Zürich;Zürich
Schweiz;ZH;8057;0;Zürich;Zürich
Schweiz;ZH;8064;0;Zürich;Zürich
Schweiz;ZH;8307;0;Illnau-Effretikon;Effretikon
Schweiz;ZH;8307;2;Illnau-Effretikon;Ottikon b. Kemptthal
Schweiz;ZH;8308;0;Illnau-Effretikon;Illnau
Schweiz;ZH;8308;2;Illnau-Effretikon;Agasul
Schweiz;ZH;8314;0;Illnau-Effretikon;Kyburg
Schweiz;ZH;8493;0;Bauma;Saland
Schweiz;ZH;8494;0;Bauma;Bauma
Schweiz;ZH;8499;0;Bauma;Sternenberg
Schweiz;ZH;8542;0;Wiesendangen;Wiesendangen
Schweiz;ZH;8543;0;Wiesendangen;Bertschikon
Schweiz;ZH;8543;1;Wiesendangen;Gundetswil
Schweiz;ZH;8543;2;Wiesendangen;Kefikon ZH
Schweiz;ZH;8544;0;Wiesendangen;Attikon
Schweiz;ZH;8546;3;Wiesendangen;Menzengrüt
Schweiz;BE;3270;0;Aarberg;Aarberg
Schweiz;BE;3282;0;Bargen (BE);Bargen BE
Schweiz;BE;3257;0;Grossaffoltern;Grossaffoltern
Schweiz;BE;3257;1;Grossaffoltern;Ammerzwil BE
Schweiz;BE;3262;0;Grossaffoltern;Suberg
Schweiz;BE;3283;0;Kallnach;Kallnach
Schweiz;BE;3283;2;Kallnach;Niederried b. Kallnach
Schweiz;BE;3273;0;Kappelen;Kappelen
Schweiz;BE;3250;0;Lyss;Lyss
Schweiz;BE;3292;0;Lyss;Busswil BE
Schweiz;BE;3042;0;Meikirch;Ortschwaben
Schweiz;BE;3045;0;Meikirch;Meikirch
Schweiz;BE;3046;0;Meikirch;Wahlendorf
Schweiz;BE;3036;0;Radelfingen;Detligen
Schweiz;BE;3271;0;Radelfingen;Radelfingen b. Aarberg
Schweiz;BE;3053;5;Rapperswil (BE);Lätti
Schweiz;BE;3251;2;Rapperswil (BE);Ruppoldsried
Schweiz;BE;3255;0;Rapperswil (BE);Rapperswil BE
Schweiz;BE;3256;0;Rapperswil (BE);Dieterswil
Schweiz;BE;3256;2;Rapperswil (BE);Bangerten b. Dieterswil
Schweiz;BE;3256;3;Rapperswil (BE);Seewil
Schweiz;BE;3054;0;Schüpfen;Schüpfen
Schweiz;BE;3035;0;Seedorf (BE);Frieswil
Schweiz;BE;3266;0;Seedorf (BE);Wiler b. Seedorf
Schweiz;BE;3267;0;Seedorf (BE);Seedorf BE
Schweiz;BE;3268;0;Seedorf (BE);Lobsigen
Schweiz;BE;4912;0;Aarwangen;Aarwangen
Schweiz;BE;4944;0;Auswil;Auswil
Schweiz;BE;4913;0;Bannwil;Bannwil
Schweiz;BE;3368;0;Bleienbach;Bleienbach
Schweiz;BE;4917;2;Busswil bei Melchnau;Busswil b. Melchnau
Schweiz;BE;4955;0;Gondiswil;Gondiswil
